,author_last,author_first,title,year,genre_3,filename,beginnings
0,Storm, Theodor,Sämtliche Werke. Fünfter Band,1919,"Romane, Novellen und Erzählungen",Theodor_Storm_-_Sämtliche_Werke._Fünfter_Band.txt,"Eigentlich hieß er Carsten Carstens und war der Sohn eines Kleinbürgers, von dem er ein schon vom Großvater erbautes Haus an der Twiete des Hafenplatzes ererbt hatte und außerdem einen Handel mit gestrickten Wollwaren und solchen Kleidungsstücken, wie deren die Schiffer von den umliegenden Inseln auf ihren Seefahrten zu gebrauchen pflegten."
1,Leppin, Paul,Severins Gang in die Finsternis: Ein Prager Gespensterroman,1914,Historische Romane und Erzählungen,"Leppin,_Paul_-_Severins_Gang_in_die_Finsternis:_Ein_Prager_Gespensterroman-41320.txt",In diesem Herbste war Severin dreiundzwanzig Jahre alt geworden. 
2,Lindau, Rudolf,Das Glückspendel,1909,"Romane, Novellen und Erzählungen",Rudolf_Lindau_-_Das_Glückspendel.txt,Seit langen Jahren hatte Hermann Fabricius seinen alten Freund Heinrich Warren aus den Augen verloren – und vergessen. 
3,Olfers,Marie von,Frost in Blüthen,1876,"Romane, Novellen und Erzählungen",Marie_von_Olfers_-_Frost_in_Blüthen.txt,"Mit vieler Müh' hatte sich Dorothee von Ort zu Ort geschleppt – es gab gute Leute am Weg, sonst wäre sie wohl verkommen wie viele Ihresgleichen."
4,Pierson, Karoline,Das graue Haus in der Rue Richelieu / Eine Criminalgeschichte,1867,"Krimis, Thriller, Spionage",Karoline_Pierson_-_Das_graue_Haus_in_der_Rue_Richelieu_|_Eine_Criminalgeschichte.txt,"An einem sonnigen Maimorgen gingen zwei Herren über die Brücke in Paris, die den Namen pont neuf führt."
5,Paalzow, Henriette,Thomas Thyrnau – Dritter Theil,1843,Historische Romane und Erzählungen,Henriette_Paalzow_-_Thomas_Thyrnau_–_Dritter_Theil.txt,Der Oktober-Morgen lag mit seinem vollen magischen Reichthum über der Erde ausgebreitet – der Boden war mit Thauperlen besäet und der Rasen von dem saftigsten Grün. 
6,Wassermann, Jakob,Melusine,1896,"Romane, Novellen und Erzählungen",Jakob_Wassermann_-_Melusine.txt,"Wenige Menschen verstehen es, ihre Wünsche im Bereich des Möglichen zu lassen. "
7,Dominik, Hans,Atomgewicht 500,1934,Science Fiction,Hans_Dominik_-_Atomgewicht_500.txt,"»In Gottes Namen los!« Hart und gepreßt kamen die Worte aus dem Munde Robert Slawters, während seine Rechte den großen Stromschalter umlegte.  "
8,Pötzl, Eduard,Kriminal Humoresken,1906,"Krimis, Thriller, Spionage",Eduard_Pötzl_-_.txt,"Ueber Haarkräusler ist schon viel geschrieben worden, aber lange nicht genug. "
9,Alexis, Willibald,Walladmor,1824,"Romane, Novellen und Erzählungen",Willibald_Alexis_-_Walladmor.txt,"Sir! Wenn Sie sich noch eines jungen Mannes erinnern, den Sie vor ungefähr fünfundzwanzig Jahren auf Ihrem reizenden Landsitze bei Ellismern mit zuvorkommender Gastfreundschaft aufnahmen, so möchte Ihnen auch vielleicht noch eine, vom schönsten Herbstwetter begünstigte, Wasserpartie, welche von einer geistreichen Gesellschaft unter Ihren Auspicien von Chester aus nach der Insel Man und auf dem Rückwege nach Anglesea unternommen wurde, im Angedenken leben. Sie äußerten späterhin Ihre Verwunderung, daß, während Jedermann sich der Freude hingab, der junge Mann allein verschlossen im Hintertheil des Schiffes gesessen, und wenig Antheil an der allgemeinen Lust genommen habe. "
