,id,author_last,author_first,author,gender,title,year,genre,filename,sentence
0,39782,Guiney,Louise Imogen,"Guiney, Louise Imogen",female,Brownies and Bogles,1888,speculative fiction,PG39782_raw.txt,"A FAIRY is a humorous person sadly out of fashion at present, who has had, nevertheless, in the actors' phrase, a long and prosperous run on this planet."
1,51198,Knowles,Robert E. (Robert Edward),"Knowles, Robert E. (Robert Edward)",male,The Web of Time,1908,novel,PG51198_raw.txt,"""No, father’s not home yet—go to sleep, dear,"" and the mother-hand tucked the clothes securely about the two snuggling forms; ""don’t ask any more, Harvey, or you’ll waken Jessie—and go to sleep."""
2,963,Dickens,Charles,"Dickens, Charles",male,Little Dorrit,1857,novel,PG963_raw.txt,"Thirty years ago, Marseilles lay burning in the sun, one day."
3,30600,Mitchell,John Ames,"Mitchell, John Ames",male,The Pines of Lory,1901,novel,PG30600_raw.txt,The _Maid of the North_ was ready for sea.
4,27447,Hergesheimer,Joseph,"Hergesheimer, Joseph",male,Mountain Blood,1915,novel,PG27447_raw.txt,"The fiery disk of the sun was just lifting above the shoulder of hills that held the city of Stenton when the Greenstream stage rolled briskly from its depot, a dingy frame tavern, and commenced the long journey to its high destination."
5,29851,Post,Melville Davisson,"Post, Melville Davisson",male,Dwellers in the Hills,1901,novel,PG29851_raw.txt,"I sat on the ground with my youthful legs tucked under me, and the bridle rein of El Mahdi over my arm, while I hammered a copper rivet into my broken stirrup strap."
6,1874,Nesbit,E. (Edith),"Nesbit, E. (Edith)",female,The Railway Children,1906,novel,PG1874_raw.txt,They were not railway children to begin with.
7,22827,Myers,Anna Balmer,"Myers, Anna Balmer",female,Patchwork,1920,novel,PG22827_raw.txt,THE gorgeous sunshine of a perfect June morning invited to the great outdoors.
8,18310,Bandelier,Adolph Francis Alphonse,"Bandelier, Adolph Francis Alphonse",male,The Delight Makers,1890,historical novel,PG18310_raw.txt,"The mountain ranges skirting the Rio Grande del Norte on the west, nearly opposite the town of Santa Fe, in the Territory of New Mexico, are to-day but little known."
9,34857,Post,Waldron Kintzing,"Post, Waldron Kintzing",unknown,Harvard Stories,1893,novel,PG34857_raw.txt,"The shadow of Massachusetts had reached across the Yard almost to University Hall, which fact, ye who are ignorant of Harvard topography, means that it was late in the afternoon."
10,1154,Lofting,Hugh,"Lofting, Hugh",male,The Voyages of Doctor Dolittle,1922,speculative fiction,PG1154_raw.txt,ALL that I have written so far about Doctor Dolittle I heard long after it happened from those who had known him—indeed a great deal of it took place before I was born.
11,43063,Onions,Oliver,"Onions, Oliver",male,A Case in Camera,1920,novel,PG43063_raw.txt,"The tale I am setting out to tell has to do with the killing, on a May morning of the year 1919, of one young man by another who claimed, and still claims, to have been his friend."
12,5897,Trollope,Anthony,"Trollope, Anthony",male,Castle Richmond,1860,historical novel,PG5897_raw.txt,"I wonder whether the novel-reading world--that part of it, at least, which may honour my pages--will be offended if I lay the plot of this story in Ireland!"
13,29452,James,Henry,"James, Henry",male,"The Wings of the Dove, Volume 1 of 2",1902,novel,PG29452_raw.txt,"She waited, Kate Croy, for her father to come in, but he kept her unconscionably, and there were moments at which she showed herself, in the glass over the mantel, a face positively pale with the irritation that had brought her to the point of going away without sight of him"
14,5066,Phelps,"Elizabeth Stuart, Andrews, Mary Raymond Shipman, Jordan, Elizabeth Garver, Howells, William Dean, Van Dyke, Henry, Bangs, John Kendrick, James, Henry, Cutting, Mary Stewart, Brown, Alice, Vorse, Mary Heaton, Wyatt, Edith, Freeman, Mary Eleanor Wilkins","Phelps, Elizabeth Stuart, Andrews, Mary Raymond Shipman, Jordan, Elizabeth Garver, Howells, William Dean, Van Dyke, Henry, Bangs, John Kendrick, James, Henry, Cutting, Mary Stewart, Brown, Alice, Vorse, Mary Heaton, Wyatt, Edith, Freeman, Mary Eleanor Wilkins",both,The Whole Family,1908,novel,PG5066_raw.txt,"As soon as we heard the pleasant news--I suppose the news of an engagement ought always to be called pleasant--it was decided that I ought to speak first about it, and speak to the father."
15,26905,Parker,Gilbert,"Parker, Gilbert",male,Northern Lights,1909,novel,PG26905_raw.txt,"Hai-yai, so bright a day, so clear! said Mitiahwe as she entered the big lodge and laid upon a wide, low couch, covered with soft skins, the fur of a grizzly which had fallen to her man's rifle."
16,24784,Turnbull,"Lawrence, Mrs.","Turnbull, Lawrence, Mrs.",male,The Royal Pawn of Venice,1911,historical novel,PG24784_raw.txt,"Among the day-dreams of the Rulers of Venice the island of Cyprus had long loomed large and fair--Cyprus, the happy isle of romance, _l'isola fortunata_, sea-girdled, clothed with dense forests of precious woods, veined with inexhaustible mines of rich metals; a very garden of luscious fruits, garlanded with ever-blooming flowers--a land flowing with milk and honey and steeped in the fragrance of wines that a god might covet."
17,28675,Wister,Owen,"Wister, Owen",male,Red Men and White,1895,novel,PG28675_raw.txt,Something new was happening among the Crow Indians.
18,159,Wells,H. G. (Herbert George),"Wells, H. G. (Herbert George)",male,The Island of Doctor Moreau,1896,science fiction,PG159_raw.txt,"On February the First 1887, the _Lady Vain_ was lost by collision with a derelict when about the latitude 1° S. and longitude 107° W."
19,54130,Lefevre,Edwin,"Lefevre, Edwin",male,Wall Street stories,1901,novel,PG54130_raw.txt,"It seemed to Fullerton F. Colwell, of the famous Stock-Exchange house of Wilson & Graves, that he had done his full duty by his friend Harry Hunt."
20,34825,Comfort,Will Levington,"Comfort, Will Levington",male,She Buildeth Her House,1911,novel,PG34825_raw.txt,Paula Linster was twenty-seven when two invading giants entered the country of her heart.
21,27682,MacKaye,Harold Steele,"MacKaye, Harold Steele",male,The Panchronicon,1904,science fiction,PG27682_raw.txt,"Rebecca Wise, turned forty and growing slightly gray at the temples, was moving slowly from one of her precious plants to the next, leaning over each to pinch off a dead leaf or count the buds."
22,36189,Walsh,William Shepard,"Walsh, William Shepard",male,In Search of a Son,1889,young adult,PG36189_raw.txt,In the great silence of the fields a far-off clock struck seven.
23,22720,Le Queux,William,"Le Queux, William",male,The Minister of Evil,1917,novel,PG22720_raw.txt,"THE Spanish author Yriarte wrote those very true words:
""_Y ahora digo yo; llene un volumen_      _De disparates un Autor famoso,_      _Y si no alabaren, que me emplumen.
_"""
24,91,Twain,Mark,"Twain, Mark",male,Tom Sawyer Abroad,1894,adventure novel,PG91_raw.txt,Do you reckon Tom Sawyer was satisfied after all them adventures?
25,768,Brontë,Emily,"Brontë, Emily",female,Wuthering Heights,1847,novel,PG768_raw.txt,801—I have just returned from a visit to my landlord—the solitary.
26,40587,Quick,Herbert,"Quick, Herbert",male,Yellowstone Nights,1911,novel,PG40587_raw.txt,"Being over Montana, and the Rockies, the skies were just as described by Truthful James."
27,34628,Barr,Amelia E.,"Barr, Amelia E.",female,"I, Thou, and the Other One",1898,novel,PG34628_raw.txt,"Beyond Thirsk and Northallerton, through the Cleveland Hills to the sea eastward, and by Roseberry Topping, northward, there is a lovely, lonely district, very little known even at the present day."
28,30037,Shedd,George C. (George Clifford),"Shedd, George C. (George Clifford)",male,In the Shadow of the Hills,1919,novel,PG30037_raw.txt,"Eastward out of the Torquilla Range the Burntwood River emerged from a gorge, flowing swift and turbulent during the spring months, shallow and murmurous the rest of the year, to pass through a basin formed by low mountains and break forth at last from a canyon and wind away over the mesa."
29,34297,Harrison,Henry Sydnor,"Harrison, Henry Sydnor",male,Angela's Business,1914,novel,PG34297_raw.txt,"Being an author actually at work, and not an author being photographed at work by a lady admirer, he did not gaze large-eyed at a poppy in a crystal vase, one hand lightly touching his forehead, the other tossing off page after page in high godlike frenzy."
30,47006,Tappan,Eva March,"Tappan, Eva March",female,In the Days of Queen Elizabeth,1902,novel,PG47006_raw.txt,Two ladies of the train of the Princess Elizabeth were talking softly together in an upper room of Hunsdon House.
31,5774,Sinclair,Upton,"Sinclair, Upton",male,They Call Me Carpenter,1922,novel,PG5774_raw.txt,The beginning of this strange adventure was my going to see a motion picture which had been made in Germany.
32,4306,Gissing,George,"Gissing, George",male,Veranilda,1904,historical novel,PG4306_raw.txt,Seven years long had the armies of Justinian warred against the Goths in Italy.
33,18247,Shelley,Mary Wollstonecraft,"Shelley, Mary Wollstonecraft",female,The Last Man,1826,science fiction,PG18247_raw.txt,I visited Naples in the year 1818.
34,7437,Walton,"O. F., Mrs.","Walton, O. F., Mrs.",unknown,A Peep Behind the Scenes,1877,young adult,PG7437_raw.txt,How mercilessly it fell on the Fair-field that Sunday afternoon!
35,46712,Pearson,Edmund Lester,"Pearson, Edmund Lester",male,The Believing Years,1910,novel,PG46712_raw.txt,Each boy in the school-room had fixed his mind on two objects: the calendar and the clock.
36,44172,Fitzhugh,Percy Keese,"Fitzhugh, Percy Keese",male,Roy Blakeley's Motor Caravan,1921,young adult,PG44172_raw.txt,"Gee whiz, whenever I see that fellow Harry Domicile, I know there’s going to be a lot of fun."
37,2369,Cather,Willa,"Cather, Willa",female,One of Ours,1922,novel,PG2369_raw.txt,"Claude Wheeler opened his eyes before the sun was up and vigorously shook his younger brother, who lay in the other half of the same bed."
38,1013,Wells,H. G. (Herbert George),"Wells, H. G. (Herbert George)",male,The First Men in the Moon,1901,science fiction,PG1013_raw.txt,"As I sit down to write here amidst the shadows of vine-leaves under the blue sky of southern Italy, it comes to me with a certain quality of astonishment that my participation in these amazing adventures of Mr. Cavor was, after all, the outcome of the purest accident."
39,30431,Merwin,"Samuel, Webster, Henry Kitchell","Merwin, Samuel, Webster, Henry Kitchell",male,Calumet 'K',1901,novel,PG30431_raw.txt,"The contract for the two million bushel grain elevator, Calumet K, had been let to MacBride & Company, of Minneapolis, in January, but the superstructure was not begun until late in May, and at the end of October it was still far from completion."
40,46096,McKenna,Stephen,"McKenna, Stephen",male,Sonia Married,1919,novel,PG46096_raw.txt,"As a clownish Fellow was driving his cart along a deep miry lane, the wheel stuck so fast in the clay, that his horse could not draw it out."
41,30274,Day,Thomas,"Day, Thomas",male,The History of Sandford and Merton,1783,novel,PG30274_raw.txt,"In the western part of England lived a gentleman of great fortune, whose name was Merton."
42,24359,Belasco,David,"Belasco, David",male,The Return of Peter Grimm,1912,novel,PG24359_raw.txt,The train drew to a halt at the Junction.
43,26993,Munroe,Kirk,"Munroe, Kirk",male,The Copper Princess,1898,adventure novel,PG26993_raw.txt,"""Look out, there!"""
44,20219,Osborne,Duffield,"Osborne, Duffield",male,The Lion's Brood,1901,historical novel,PG20219_raw.txt,"Centuries come and go; but the plot of the drama is unchanged, and the same characters play the same parts."
45,27337,Ingram,Eleanor M. (Eleanor Marie),"Ingram, Eleanor M. (Eleanor Marie)",female,From the Car Behind,1911,novel,PG27337_raw.txt,"Gerard paused on the steps of the cement plateau overlooking the racetrack, his eyebrows lifting in the wave of humor glinting across his face like sunlight over quiet water."
46,40912,Tracy,Louis,"Tracy, Louis",male,The Pillar of Light,1904,novel,PG40912_raw.txt,"All night long the great bell of the lighthouse, slung to a stout beam projecting seaward beneath the outer platform, had tolled its warning through the fog."
